248	Norfolk Naval Shipyard	36.820086	-76.300926
249	NS Norfolk	36.947398	-76.31692
250	NSA Norfolk	36.923381	-76.303271
251	NSA Northwest Annex	36.643075	-76.278472
252	NSWC Dahlgren	38.325	-77.033333
253	NWS Yorktown	37.2136	-76.4873
254	SCSC Wallops Island	37.868382	-75.453698
255	Sector Hampton Roads	36.835	-76.298
256	Telecom Systems Command	38.7955	-77.13475
257	Training Center Yorktown	37.239	-76.5142
258	Fairchild AFB	47.618865	-117.656329
259	Fort Lewis	47.08	-122.565857
260	Kitsap	47.723043	-122.713509
261	McChord AFB	47.147233	-122.479534
262	NAS Whidbey Island	48.342545	-122.675946
263	Naval Hospital Bremerton	47.593553	-122.693021
264	NS Everett	47.988768	-122.214032
265	Fort McCoy	43.96	-90.74
266	Fort Chaffee	35.27	-94.202
267	Little Rock AFB	34.918056	-92.146389
268	Pine Bluff Arsenal	34.295232	-92.06852
269	Grissom Air Reserve Base	40.650885	-86.149893
270	NSWC Crane Division	38.833333	-86.791667
271	Aitos Logistics Center	42.7	27.25
272	Bezmer Air Base	42.454722	26.352222
273	Graf Ignatievo Air Base	42.290278	24.713889
274	Novo Selo Range	42.720278	26.591944
275	Al Udeid Air Base	25.117222	51.314722
276	Eskan Village Air Base	24.575851	46.847506
277	King Abdul Aziz Air Base	26.255119	50.145936
278	King Fahd Air Base	21.4819439	40.5386925
279	King Khalid Air Base	24.957778	46.698889
280	Riyadh Air Base	24.709722	46.725278
281	Transit Center at Manas	43.050278	74.469444
282	Camp Baharia	33.315264	43.883169
283	Camp Banzai	33.383056	44.34
284	Camp Bucca	30.037743	47.918072
285	Camp Fallujah	33.315264	43.883169
286	Camp Taji	33.529444	44.2775
287	Camp Victory	33.284	44.2561
288	COP Shocker	33.158794	46.038542
289	FOB Abu Ghraib	33.291667	44.065556
290	FOB Grizzly	33.8555556	44.5219444
291	FOB Sykes	36.282889	42.402935
292	Joint Base Balad	33.9333	44.3666
293	Victory Base Complex	33.2625	44.234444
294	Dover AFB	39.123239	-75.459805
295	Ali Al Salem Airbase	29.346667	47.520556
296	Camp Arifjan	28.8784	48.1597
297	Camp Buehring	29.701511	47.43257
298	Camp Doha	29.367778	47.803889
299	Camp New York	29.439747	47.465229
300	Camp Patriot	28.867827	48.277359
301	Camp Spearhead	29.041763	48.143635
302	Camp Virginia	29.695658	47.425747
303	Air Station Clearwater	27.976766	-82.758536
304	AUTEC Complex	26.715	-80.0537
305	Blount Island Command	30.406137	-81.520872
306	Camp Blanding	29.955	-81.98
307	District 7	25.765482	-80.188406
308	Eglin AFB	30.483814	-86.526175
309	Hurlburt Field	30.427213	-86.694317
310	ISC Miami	25.780996	-80.15267
311	MacDill AFB	27.852205	-82.508097
312	NAS Jacksonville	30.23623	-81.678028
313	NAS Key West	24.574602	-81.690559
314	NAS Pensacola	30.35088	-87.320967
315	NAS Whiting Field	30.710042	-87.019893
316	Naval Air Warfare Center	28.586501	-81.197526
317	Naval Hospital Jacksonville	30.210868	-81.690631
318	Naval Hospital Pensacola	30.402991	-87.325524
319	NS Mayport	30.394199	-81.420021
320	NSA Panama City	30.174886	-85.756445
321	Patrick AFB	28.235	-80.61
322	Training Center Corry	30.401667	-87.29
323	Tyndall AFB	30.070877	-85.5762
324	Mountain Home AFB	43.050074	-115.866966
325	Clear Air Force Base	64.290953	-149.179917
326	Eielson AFB	64.676023	-147.09157
327	Elmendorf AFB	61.254954	-149.813819
328	Fort Greely	63.905016	-145.554566
329	Fort Richardson	61.26	-149.680012
330	Fort Wainwright	64.827762	-147.643032
331	ISC Kodiak	57.751809	-152.495384
332	Marine Safety Unit Valdez	61.13	-146.348
333	USCG Juneau	58.3016	-134.4194
334	Great Lakes Training Center	42.308162	-87.850765
335	Rock Island Arsenal	41.5095	-90.5786
336	Scott AFB	38.545278	-89.835278
337	Detroit Arsenal	42.506653	-83.028309
338	Selfridge ANGB	42.615897	-82.840862
339	Columbus AFB	33.64	-88.447189
340	Gulfport Battalion Center	30.40634	-89.072685
341	Keesler AFB	30.411388	-88.923615
342	NAS Meridian	32.550844	-88.605691
343	NS Pascagoula	30.336707	-88.576872
344	Malmstrom AFB	47.507679	-111.178837
345	Offutt AFB	41.118935	-95.914249
346	Creech AFB	36.58831	-115.682688
347	NAS Fallon	39.394128	-118.725462
348	Nellis AFB	36.234928	-115.034323
349	Grand Forks AFB	47.962101	-97.372538
350	Minot AFB	48.420299	-101.345188
351	ISC Cleveland	41.4997	-81.6956
352	Wright-Patterson AFB	39.826731	-84.04832
353	Ellsworth AFB	44.150531	-103.094438
354	Dugway Proving Ground	40.206673	-113.289642
355	Hill AFB	41.124635	-111.976044
356	F.E. Warren AFB	41.15	-104.867195
357	Umatilla Chemical Depot	45.843056	-119.438056
358	Coast Guard Academy	41.345754	-72.105721
359	Marine Safety Lab	41.402	-72.089
360	New London Submarine Base	41.398115	-72.086964
361	Research & Development Center	41.402	-72.089
362	NAS Brunswick	43.893501	-69.937677
363	NS Portsmouth	43.078889	-70.734167
364	Portsmouth Shipyard	43.081139	-70.808418
365	NS Newport	41.517429	-71.316473
